date,close,volume,coffeePrice
2016-04-20,60.9,5558770,1.2715
2016-04-21,60.64,12799083,1.2355
2016-04-22,57.68,29836693,1.2275
2016-04-25,57.77,8428038,1.231
2016-04-26,57.72,8839067,1.2535
2016-04-27,56.9,12390767,1.2123
2016-04-28,56.42,9196560,1.2073
2016-04-29,56.23,12133364,1.2137
2016-05-02,57.36,8616189,1.1965
2016-05-03,56.25,7854260,1.1925
2016-05-04,56.39,6508507,1.197
2016-05-05,56.25,6215367,1.215
2016-05-06,56.31,6378690,1.245
2016-05-09,56.64,5976229,1.2645
2016-05-10,57.49,7931185,1.2875
2016-05-11,56.23,8118920,1.2975
2016-05-12,56.3,6870281,1.3005
2016-05-13,55.82,5466041,1.301
2016-05-16,55.53,9536192,1.336
2016-05-17,54.88,10530018,1.327
2016-05-18,54.8,7468496,1.301
2016-05-19,54.55,7582848,1.2395
2016-05-20,54.62,8430783,1.247
2016-05-23,54.6,7352054,1.2215
2016-05-24,55.44,7748697,1.218
2016-05-25,55.15,8126058,1.214
2016-05-26,55.29,9451708,1.215
2016-05-27,55.15,6631120,1.213
2016-05-31,54.89,12043976,1.2155
2016-06-01,54.82,8761577,1.219
2016-06-02,54.62,8307488,1.23
2016-06-03,54.61,6649224,1.271
2016-06-06,55.59,9900917,1.317
2016-06-07,55.3,7173072,1.322
2016-06-08,55.22,7623851,1.3965
2016-06-09,55.58,5927854,1.3395
2016-06-10,54.865,8118651,1.3695
2016-06-13,55.04,7928722,1.373
2016-06-14,55.57,8036517,1.351
2016-06-15,55.35,7447317,1.382
2016-06-16,55.53,7968033,1.395
2016-06-17,55.31,9503017,1.4075
2016-06-20,55.38,7286681,1.395
2016-06-21,55.81,7445109,1.385
2016-06-22,55.61,7215411,1.3695
2016-06-23,56.13,5569431,1.3925
2016-06-24,54.68,14654672,1.3435
2016-06-27,53.69,11650798,1.3481
2016-06-28,54.85,8416950,1.3958
2016-06-29,56.74,11103787,1.4381
2016-06-30,57.12,10215193,1.4534
2016-07-01,56.99,8330308,1.464
2016-07-05,56.77,7274208,1.4555
2016-07-06,56.75,8474188,1.433
2016-07-07,56.91,6813347,1.418
2016-07-08,56.51,12655500,1.441
2016-07-11,56.32,10394366,1.493
2016-07-12,57.48,10998486,1.474
2016-07-13,56.48,12183638,1.4765
2016-07-14,57.59,11353599,1.5215
2016-07-15,57.41,8494000,1.4755
2016-07-18,56.92,7614635,1.4945
2016-07-19,56.76,8719772,1.4655
2016-07-20,57.54,9446396,1.47
2016-07-21,57.6,16151699,1.4685
2016-07-22,57.9,23899275,1.419
2016-07-25,57.95,10486019,1.411
2016-07-26,58.31,10106663,1.416
2016-07-27,57.85,6551777,1.412
2016-07-28,58.21,6830059,1.4215
2016-07-29,58.05,6914907,1.462
2016-08-01,57.63,7997576,1.4345
2016-08-02,56.73,7574622,1.4125
2016-08-03,55.94,11484792,1.404
2016-08-04,55.42,11193748,1.421
2016-08-05,55.9,9206197,1.425
2016-08-08,55.36,9129307,1.411
2016-08-09,55.2,7136683,1.411
2016-08-10,55.62,6991077,1.3865
2016-08-11,55.47,6191412,1.377
2016-08-12,55.47,5039757,1.3685
2016-08-15,55.25,5968728,1.3695
2016-08-16,55.37,5751178,1.374
2016-08-17,55.8,7410631,1.3505
2016-08-18,55.53,5390990,1.3815
2016-08-19,54.94,8981214,1.388
2016-08-22,55.85,8837808,1.441
2016-08-23,56.4,7827873,1.453
2016-08-24,57.09,13200460,1.4215
2016-08-25,57.29,6686589,1.435
2016-08-26,57.29,6940511,1.4409
2016-08-29,56.8,7026700,1.4444
2016-08-30,56.4,6377668,1.4553
2016-08-31,56.23,6996894,1.4682
2016-09-01,56.31,6230148,1.514
2016-09-02,56.18,7441463,1.514
2016-09-06,56.02,6472907,1.5375
2016-09-07,56.32,11428644,1.551
2016-09-08,55.3,12673626,1.549
2016-09-09,54.35,10658120,1.5115
2016-09-12,54.71,11002544,1.509
2016-09-13,53.98,10050215,1.484
2016-09-14,53.9,6707850,1.489
2016-09-15,54.11,8080426,1.489
2016-09-16,53.74,10207750,1.484
2016-09-19,53.01,9231628,1.528
2016-09-20,53.3,8731499,1.568
2016-09-21,53.98,9213637,1.5655
2016-09-22,54.39,9096709,1.5525
2016-09-23,54.43,6945147,1.514
2016-09-26,54.04,7755629,1.5355
2016-09-27,54.19,6463747,1.537
2016-09-28,53.98,8593496,1.531
2016-09-29,53.45,11993517,1.5015
2016-09-30,54.14,13767754,1.5155
2016-10-03,53.84,5479037,1.4755
2016-10-04,53.53,6176358,1.4745
2016-10-05,53.35,7451916,1.482
2016-10-06,53.14,6130270,1.464
2016-10-07,53.46,7279723,1.48
2016-10-10,53.3,7224335,1.5285
2016-10-11,52.92,9720407,1.508
2016-10-12,53.16,6320462,1.521
2016-10-13,52.95,6958128,1.527
2016-10-14,53.08,6430136,1.554
2016-10-17,52.76,5223526,1.571
2016-10-18,52.61,6550399,1.5875
2016-10-19,53.15,9095261,1.5785
2016-10-20,53.59,9286800,1.559
2016-10-21,53.63,6767204,1.561
2016-10-24,54.18,6919714,1.579
2016-10-25,53.67,6052830,1.645
2016-10-26,53.63,5817798,1.637
2016-10-27,53.59,7899957,1.648
2016-10-28,53.53,6620333,1.655
2016-10-31,53.07,9142509,1.6415
2016-11-01,52.5,15425819,1.6145
2016-11-02,52.98,10851658,1.629
2016-11-03,51.77,21847292,1.6565
2016-11-04,52.75,21956848,1.7135
2016-11-07,54.49,14916848,1.7435
2016-11-08,54.62,9351994,1.675
2016-11-09,54.58,13727777,1.701
2016-11-10,53.57,13621701,1.6185
2016-11-11,53.93,8436435,1.5945
2016-11-14,54.22,10489826,1.618
2016-11-15,54.59,9588036,1.618
2016-11-16,55.44,10779155,1.6125
2016-11-17,55.85,8744504,1.593
2016-11-18,55.77,8740953,1.5785
2016-11-21,56.1,8004000,1.5865
2016-11-22,57.12,10268720,1.5725
2016-11-23,57.59,8183628,1.5465
2016-11-25,57.43,3228848,1.5292
2016-11-28,57.59,8750925,1.5446
2016-11-29,58.17,10582850,1.5179
2016-11-30,57.97,9527959,1.4998
2016-12-01,58.51,12381607,1.449
2016-12-02,57.21,16869957,1.458
2016-12-05,57.5,7701167,1.445
2016-12-06,57.44,7035674,1.42
2016-12-07,58.76,9094812,1.417
2016-12-08,58.65,7972498,1.414
2016-12-09,58.75,7091577,1.3935
2016-12-12,58.77,7736198,1.42
2016-12-13,59.31,8878080,1.4285
2016-12-14,58.75,9022867,1.4415
2016-12-15,57.71,11837756,1.422
2016-12-16,57.66,10611461,1.4245
2016-12-19,57.65,6433824,1.4425
2016-12-20,57.7,4888284,1.4385
2016-12-21,57.44,5380537,1.4455
2016-12-22,57.11,6777656,1.391
2016-12-23,57.01,4298476,1.3615
2016-12-27,56.86,4186157,1.342
2016-12-28,56.35,5548726,1.335
2016-12-29,56.32,3781721,1.3545
2016-12-30,55.52,8344508,1.3705
2017-01-03,55.35,7809307,1.374
2017-01-04,55.99,7796290,1.418
2017-01-05,56.46,7602321,1.4375
2017-01-06,57.13,8587812,1.4285
2017-01-09,58.2,12640515,1.442
